esinw ecosw obliquity co2_ppm ice 
0.0125 0.0476 22.141  552.05 10984000000000.000 
0.0438 0.0285 23.358  709.11 10984000000000.000 
0.0028 0.0086 23.679 1143.85 10984000000000.000 
0.0606 -0.0067 22.065  804.31 10984000000000.000 
0.0434 -0.0275 23.118  946.13 10984000000000.000 
0.0015 -0.0121 22.532 1140.79 10984000000000.000 
-0.0140 -0.0401 23.217  679.01 10984000000000.000 
-0.0052 0.0259 22.471  562.43 10984000000000.000 
0.0249 0.0112 24.168  727.93 8040000000000.000 
0.0246 -0.0182 22.969  660.33 8040000000000.000 
0.0396 -0.0247 22.725  640.51 8040000000000.000 
0.0034 -0.0436 23.861  622.77 8040000000000.000 
-0.0123 -0.0576 22.849  788.85 8040000000000.000 
-0.0381 0.0108 23.905  664.96 8040000000000.000 
-0.0025 0.0422 24.420  720.05 8040000000000.000 
-0.0130 0.0211 23.019  965.52 8040000000000.000 
-0.0017 0.0076 22.336  579.87 8040000000000.000 
0.0008 0.0145 23.394  918.53 7590900000000.001 
0.0187 0.0294 22.914  589.19 7590900000000.001 
0.0307 -0.0033 23.139  690.01 7590900000000.001 
0.0298 -0.0389 24.264  770.78 7590900000000.001 
-0.0276 -0.0345 23.944  686.02 7590900000000.001 
-0.0001 -0.0199 22.098  879.16 7590900000000.001 
-0.0389 0.0409 24.472  824.50 7590900000000.001 
-0.0282 0.0481 22.248  912.77 7590900000000.001 
0.0382 0.0321 22.284 1012.52 6483700000000.000 
0.0272 0.0004 23.264  727.47 6483700000000.000 
-0.0093 -0.0620 24.282  635.08 6483700000000.000 
-0.0058 -0.0121 22.158  567.33 6483700000000.000 
-0.0552 -0.0012 22.775  699.70 6483700000000.000 
-0.0467 0.0003 24.083 1083.17 6483700000000.000 
-0.0337 0.0269 23.333 1132.40 6483700000000.000 
-0.0098 0.0197 22.481 1039.65 6483700000000.000 
0.0149 0.0061 22.177 1036.13 6189300000000.000 
0.0165 -0.0002 23.322  888.86 6189300000000.000 
-0.0275 -0.0054 23.966 1070.27 6189300000000.000 
-0.0080 -0.0070 23.296  740.60 6189300000000.000 
-0.0238 -0.0040 22.323 1025.30 6189300000000.000 
-0.0212 0.0500 22.389  750.95 6189300000000.000 
-0.0060 0.0260 24.476  748.57 6189300000000.000 
-0.0053 0.0224 23.631  772.88 6189300000000.000 
0.0013 0.0023 23.064  628.58 5679200000000.000 
0.0032 0.0442 22.275 1103.34 5679200000000.000 
0.0126 0.0375 23.607  841.91 5679200000000.000 
0.0503 0.0145 23.234  673.57 5679200000000.000 
0.0610 -0.0016 24.038  646.23 5679200000000.000 
0.0418 -0.0093 23.717  574.01 5679200000000.000 
-0.0002 -0.0445 22.011 1005.62 5679200000000.000 
-0.0023 -0.0397 24.058  782.61 5679200000000.000 
-0.0560 0.0036 22.214 1112.03 5679200000000.000 
0.0255 -0.0175 22.893  594.46 4288500000000.000 
