esinw ecosw obliquity co2_ppm ice 
0.0022 0.0173 22.728  643.63 10984000000000.000 
0.0041 -0.0101 23.355 1051.77 10984000000000.000 
0.0083 -0.0138 23.695 1140.85 10984000000000.000 
-0.0007 -0.0072 23.412  879.38 10984000000000.000 
-0.0183 0.0571 23.299  999.85 10984000000000.000 
0.0386 0.0231 22.565  561.61 8040000000000.000 
0.0014 0.0001 23.881  730.29 8040000000000.000 
0.0273 0.0014 23.916 1125.76 8040000000000.000 
0.0543 -0.0088 23.038  934.64 8040000000000.000 
0.0259 -0.0559 23.508  857.80 8040000000000.000 
-0.0109 -0.0112 23.850 1086.32 8040000000000.000 
-0.0349 -0.0142 24.176  683.10 8040000000000.000 
-0.0481 -0.0060 22.146  833.56 8040000000000.000 
-0.0117 0.0014 23.972  768.32 8040000000000.000 
-0.0071 0.0295 24.004  908.58 8040000000000.000 
0.0006 0.0127 22.770  743.76 6212300000000.000 
0.0026 0.0238 23.963  616.35 6212300000000.000 
0.0215 0.0262 24.308  848.02 6212300000000.000 
0.0331 0.0396 24.189 1116.18 6212300000000.000 
0.0190 0.0052 23.557  661.86 6212300000000.000 
0.0612 -0.0021 23.741  994.09 6212300000000.000 
0.0188 -0.0433 22.934  618.84 6212300000000.000 
-0.0058 -0.0612 22.274  567.15 6212300000000.000 
-0.0153 -0.0024 24.266 1016.78 6212300000000.000 
-0.0313 -0.0161 24.323  699.24 6212300000000.000 
0.0109 0.0548 23.758  922.01 4288500000000.000 
0.0552 0.0177 24.500 1143.72 4288500000000.000 
0.0384 -0.0456 22.022  916.46 4288500000000.000 
-0.0062 -0.0032 22.061  714.84 4288500000000.000 
-0.0289 -0.0485 24.048 1078.28 4288500000000.000 
-0.0069 0.0350 22.678  790.63 4288500000000.000 
-0.0151 0.0129 23.204  690.79 4288500000000.000 
-0.0099 0.0247 23.169  977.88 4288500000000.000 
-0.0102 0.0203 24.448  758.51 4288500000000.000 
-0.0012 0.0146 23.254  969.77 4288500000000.000 
0.0095 0.0169 23.572  803.78 2853500000000.000 
0.0024 0.0138 22.642 1113.43 2853500000000.000 
0.0415 -0.0297 24.247  575.93 2853500000000.000 
0.0129 -0.0086 22.359 1024.30 2853500000000.000 
-0.0014 -0.0578 23.493  628.52 2853500000000.000 
-0.0148 -0.0031 24.391  585.90 2853500000000.000 
-0.0537 -0.0012 22.797  979.74 2853500000000.000 
-0.0393 -0.0012 22.219 1008.38 2853500000000.000 
-0.0215 0.0122 22.986  749.87 2853500000000.000 
-0.0295 0.0259 22.447  707.57 2853500000000.000 
0.0023 0.0011 23.091  864.06 2007600000000.000 
0.0494 0.0133 24.098  780.61 2007600000000.000 
0.0260 -0.0022 23.642 1103.86 2007600000000.000 
0.0159 -0.0016 22.420  955.45 2007600000000.000 
0.0148 -0.0241 23.674  789.03 2007600000000.000 
-0.0139 -0.0382 22.300  673.38 2007600000000.000 
-0.0250 -0.0098 22.465  652.71 2007600000000.000 
-0.0343 -0.0397 22.577 1067.03 2007600000000.000 
-0.0444 0.0186 24.128  899.81 2007600000000.000 
-0.0375 0.0224 23.131 1031.16 2007600000000.000 
0.0018 0.0288 22.200  655.70 1445400000000.000 
0.0111 0.0303 23.377  607.51 1445400000000.000 
0.0600 -0.0051 22.128  886.13 1445400000000.000 
0.0293 -0.0034 22.874  593.62 1445400000000.000 
0.0009 -0.0371 22.853 1046.84 1445400000000.000 
-0.0258 -0.0325 23.449 1062.27 1445400000000.000 
-0.0453 0.0159 22.098  811.67 1445400000000.000 
-0.0194 0.0451 22.922  950.51 1445400000000.000 
-0.0001 0.0118 23.002  874.64 1445400000000.000 
-0.0059 0.0163 24.418  726.83 1445400000000.000 
0.0042 0.0166 22.334  820.03 176540000000.000 
0.0177 -0.0165 22.521  827.07 176540000000.000 
0.0067 -0.0548 22.708 1097.86 176540000000.000 
-0.0199 -0.0065 23.807  557.15 176540000000.000 
-0.0102 0.0060 23.216  938.46 176540000000.000 
