esinw ecosw obliquity co2_ppm ice 
0.0125 0.0476 22.141  552.05 32890880000000000.000 
0.0438 0.0285 23.358  709.11 32890880000000000.000 
0.0028 0.0086 23.679 1143.85 32890880000000000.000 
0.0606 -0.0067 22.065  804.31 32890880000000000.000 
0.0434 -0.0275 23.118  946.13 32890880000000000.000 
0.0015 -0.0121 22.532 1140.79 32890880000000000.000 
-0.0140 -0.0401 23.217  679.01 32890880000000000.000 
-0.0052 0.0259 22.471  562.43 32890880000000000.000 
0.0249 0.0112 24.168  727.93 32890880000000000.000 
0.0246 -0.0182 22.969  660.33 32890880000000000.000 
0.0396 -0.0247 22.725  640.51 32890880000000000.000 
0.0034 -0.0436 23.861  622.77 32890880000000000.000 
-0.0123 -0.0576 22.849  788.85 24248150000000000.000 
-0.0381 0.0108 23.905  664.96 24248150000000000.000 
-0.0025 0.0422 24.420  720.05 24248150000000000.000 
-0.0130 0.0211 23.019  965.52 24248150000000000.000 
-0.0017 0.0076 22.336  579.87 24248150000000000.000 
0.0008 0.0145 23.394  918.53 24248150000000000.000 
0.0187 0.0294 22.914  589.19 24248150000000000.000 
0.0307 -0.0033 23.139  690.01 24248150000000000.000 
0.0298 -0.0389 24.264  770.78 24248150000000000.000 
-0.0276 -0.0345 23.944  686.02 24248150000000000.000 
-0.0001 -0.0199 22.098  879.16 24248150000000000.000 
-0.0389 0.0409 24.472  824.50 24248150000000000.000 
-0.0282 0.0481 22.248  912.77 24248150000000000.000 
0.0382 0.0321 22.284 1012.52 18494621000000000.000 
0.0272 0.0004 23.264  727.47 18494621000000000.000 
-0.0093 -0.0620 24.282  635.08 18494621000000000.000 
-0.0058 -0.0121 22.158  567.33 18494621000000000.000 
-0.0552 -0.0012 22.775  699.70 18494621000000000.000 
-0.0467 0.0003 24.083 1083.17 18494621000000000.000 
-0.0337 0.0269 23.333 1132.40 18494621000000000.000 
-0.0098 0.0197 22.481 1039.65 18494621000000000.000 
0.0149 0.0061 22.177 1036.13 18494621000000000.000 
0.0165 -0.0002 23.322  888.86 18494621000000000.000 
-0.0275 -0.0054 23.966 1070.27 18494621000000000.000 
-0.0080 -0.0070 23.296  740.60 18494621000000000.000 
-0.0238 -0.0040 22.323 1025.30 13338722000000000.000 
-0.0212 0.0500 22.389  750.95 13338722000000000.000 
-0.0060 0.0260 24.476  748.57 13338722000000000.000 
-0.0053 0.0224 23.631  772.88 13338722000000000.000 
0.0013 0.0023 23.064  628.58 13338722000000000.000 
0.0032 0.0442 22.275 1103.34 13338722000000000.000 
0.0126 0.0375 23.607  841.91 13338722000000000.000 
0.0503 0.0145 23.234  673.57 13338722000000000.000 
0.0610 -0.0016 24.038  646.23 13338722000000000.000 
0.0418 -0.0093 23.717  574.01 13338722000000000.000 
-0.0002 -0.0445 22.011 1005.62 13338722000000000.000 
-0.0023 -0.0397 24.058  782.61 13338722000000000.000 
-0.0560 0.0036 22.214 1112.03 7672856400000000.000 
0.0255 -0.0175 22.893  594.46 7672856400000000.000 
0.0148 -0.0455 23.477 1121.06 7672856400000000.000 
0.0002 -0.0270 23.804  556.10 7672856400000000.000 
-0.0036 -0.0158 22.943  736.85 7672856400000000.000 
-0.0170 -0.0187 23.545  812.35 7672856400000000.000 
-0.0221 -0.0266 24.208  884.15 7672856400000000.000 
-0.0501 0.0290 23.883  982.12 7672856400000000.000 
-0.0188 0.0560 24.334 1097.18 7672856400000000.000 
0.0038 0.0480 23.670 1050.69 7672856400000000.000 
0.0034 0.0475 24.122  956.12 7672856400000000.000 
0.0119 0.0206 24.324 1087.70 7672856400000000.000 
0.0516 0.0094 23.554  854.76 7672856400000000.000 
0.0097 -0.0044 22.757  813.30 4991544900000000.000 
-0.0006 -0.0389 22.680  614.39 4991544900000000.000 
-0.0096 -0.0273 22.523  800.95 4991544900000000.000 
-0.0278 0.0030 22.707  604.68 4991544900000000.000 
-0.0406 0.0038 22.029  649.95 4991544900000000.000 
0.0224 -0.0030 22.570  666.32 4991544900000000.000 
0.0062 -0.0305 24.024  873.96 4991544900000000.000 
0.0193 -0.0281 22.624  625.03 4991544900000000.000 
0.0108 -0.0078 23.984  904.77 4991544900000000.000 
-0.0113 -0.0278 22.818  959.16 4991544900000000.000 
-0.0071 -0.0088 22.655  758.18 4991544900000000.000 
-0.0490 -0.0072 24.441  830.42 4991544900000000.000 
-0.0024 0.0303 23.181  587.30 4991544900000000.000 
0.0242 0.0332 23.079  574.99 2425799300000000.000 
0.0082 0.0403 22.449  925.36 2425799300000000.000 
0.0214 0.0306 24.187  597.87 2425799300000000.000 
0.0150 -0.0002 22.361  856.40 2425799300000000.000 
0.0029 -0.0342 23.505 1054.30 2425799300000000.000 
0.0012 -0.0303 23.448  896.89 2425799300000000.000 
0.0068 -0.0060 23.164  716.84 2425799300000000.000 
-0.0108 -0.0017 23.729  993.92 2425799300000000.000 
0.0067 0.0033 22.631  611.04 2425799300000000.000 
0.0608 0.0027 24.233  844.03 2425799300000000.000 
0.0371 -0.0028 22.990  652.15 2425799300000000.000 
0.0154 -0.0149 22.858 1061.66 2425799300000000.000 
-0.0420 -0.0098 24.136  868.40 2425799300000000.000 
-0.0321 0.0011 23.833  706.61 235978840000000.000 
-0.0366 0.0130 23.033  691.83 235978840000000.000 
-0.0014 0.0167 23.767  831.95 235978840000000.000 
-0.0394 0.0098 22.421  790.99 235978840000000.000 
0.0320 0.0272 23.586  942.01 235978840000000.000 
0.0316 0.0109 23.458  988.69 235978840000000.000 
0.0282 0.0067 24.383  971.59 235978840000000.000 
-0.0078 -0.0019 24.374  765.13 235978840000000.000 
-0.0147 -0.0109 22.598  607.52 235978840000000.000 
-0.0298 -0.0034 22.105  929.82 235978840000000.000 
-0.0414 0.0046 23.798 1021.26 235978840000000.000 
-0.0059 0.0044 23.406  562.17 235978840000000.000 
